feature,semantic_status,python_side_evidence,java_side,note,ssh_residual_ks_after,ssh_outside_p01_p99_after,portscan_residual_ks_after
Fwd IAT Std,UNIT_DIFFERENCE_ONLY,python derives durations/IAT from scapy packet.time in seconds; canonical is microseconds (confirmed by lab-feature-compat-v1),"documented, not locally verifiable",confirmed and corrected by lab-feature-compat-v1,0.5177966101694915,0.0,0.0026421176776383337
Fwd IAT Max,UNIT_DIFFERENCE_ONLY,python derives durations/IAT from scapy packet.time in seconds; canonical is microseconds (confirmed by lab-feature-compat-v1),"documented, not locally verifiable",confirmed and corrected by lab-feature-compat-v1,0.48050847457627116,0.0,0.003707827750405124
Fwd IAT Min,UNIT_DIFFERENCE_ONLY,python derives durations/IAT from scapy packet.time in seconds; canonical is microseconds (confirmed by lab-feature-compat-v1),"documented, not locally verifiable",all-zero in laboratory captures; unit applies but unverifiable from lab data,0.5279661016949152,0.0,0.008847328484619554
Bwd IAT Total,UNIT_DIFFERENCE_ONLY,python derives durations/IAT from scapy packet.time in seconds; canonical is microseconds (confirmed by lab-feature-compat-v1),"documented, not locally verifiable",confirmed and corrected by lab-feature-compat-v1,0.5177966101694915,0.0,0.002644752998960942
Bwd IAT Mean,UNIT_DIFFERENCE_ONLY,python derives durations/IAT from scapy packet.time in seconds; canonical is microseconds (confirmed by lab-feature-compat-v1),"documented, not locally verifiable",confirmed and corrected by lab-feature-compat-v1,0.5177966101694915,0.0,0.002644752998960942
Bwd IAT Std,UNIT_DIFFERENCE_ONLY,python derives durations/IAT from scapy packet.time in seconds; canonical is microseconds (confirmed by lab-feature-compat-v1),"documented, not locally verifiable",confirmed and corrected by lab-feature-compat-v1,0.5033898305084745,0.0,0.0006611882497402632
Bwd IAT Max,UNIT_DIFFERENCE_ONLY,python derives durations/IAT from scapy packet.time in seconds; canonical is microseconds (confirmed by lab-feature-compat-v1),"documented, not locally verifiable",confirmed and corrected by lab-feature-compat-v1,0.48135593220338985,0.0,0.002644752998960942
Bwd IAT Min,UNIT_DIFFERENCE_ONLY,python derives durations/IAT from scapy packet.time in seconds; canonical is microseconds (confirmed by lab-feature-compat-v1),"documented, not locally verifiable",confirmed and corrected by lab-feature-compat-v1,0.7195529353967084,72.46376811594203,0.002644752998960942
Fwd PSH Flags,FLAG_DEFINITION_DIFFERENCE,"python counts packets bearing the flag (substring match on scapy flag string), both directions; original flag-count semantics/segmentation differ (e.g. canonical PSH median 1 vs lab 15)","documented, not locally verifiable",,1.0,100.0,
Bwd PSH Flags,FLAG_DEFINITION_DIFFERENCE,"python counts packets bearing the flag (substring match on scapy flag string), both directions; original flag-count semantics/segmentation differ (e.g. canonical PSH median 1 vs lab 15)","documented, not locally verifiable",,,100.0,
Fwd URG Flags,FLAG_DEFINITION_DIFFERENCE,"python counts packets bearing the flag (substring match on scapy flag string), both directions; original flag-count semantics/segmentation differ (e.g. canonical PSH median 1 vs lab 15)","documented, not locally verifiable",,,0.0,
Bwd URG Flags,FLAG_DEFINITION_DIFFERENCE,"python counts packets bearing the flag (substring match on scapy flag string), both directions; original flag-count semantics/segmentation differ (e.g. canonical PSH median 1 vs lab 15)","documented, not locally verifiable",,,0.0,
Fwd Header Length,IMPLEMENTATION_DIFFERENCE,"python _header_size = IP header only (ihl*4), excludes the TCP header; original header length conventionally includes the transport header","documented, not locally verifiable",,0.5186440677966102,0.0,0.49069613677151225
Bwd Header Length,IMPLEMENTATION_DIFFERENCE,"python _header_size = IP header only (ihl*4), excludes the TCP header; original header length conventionally includes the transport header","documented, not locally verifiable",,0.5186440677966102,0.0,0.7146840242799088
Fwd Packets/s,LIKELY_EQUIVALENT,python computes per-second rate = count/duration_seconds,"documented, not locally verifiable",,0.5177966101694915,0.0,0.9896527575794268
Bwd Packets/s,LIKELY_EQUIVALENT,python computes per-second rate = count/duration_seconds,"documented, not locally verifiable",,0.5186440677966102,0.0,0.9908063348131356
Min Packet Length,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,,100.0,1.0
Max Packet Length,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,1.0,100.0,0.9993702969050093
Packet Length Mean,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,1.0,100.0,0.9995906929882561
Packet Length Std,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,1.0,100.0,0.9937344542048424
Packet Length Variance,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,1.0,100.0,0.9937344542048424
FIN Flag Count,FLAG_DEFINITION_DIFFERENCE,"python counts packets bearing the flag (substring match on scapy flag string), both directions; original flag-count semantics/segmentation differ (e.g. canonical PSH median 1 vs lab 15)","documented, not locally verifiable",,,100.0,
SYN Flag Count,FLAG_DEFINITION_DIFFERENCE,"python counts packets bearing the flag (substring match on scapy flag string), both directions; original flag-count semantics/segmentation differ (e.g. canonical PSH median 1 vs lab 15)","documented, not locally verifiable",,1.0,100.0,
RST Flag Count,FLAG_DEFINITION_DIFFERENCE,"python counts packets bearing the flag (substring match on scapy flag string), both directions; original flag-count semantics/segmentation differ (e.g. canonical PSH median 1 vs lab 15)","documented, not locally verifiable",,,0.0,
PSH Flag Count,FLAG_DEFINITION_DIFFERENCE,"python counts packets bearing the flag (substring match on scapy flag string), both directions; original flag-count semantics/segmentation differ (e.g. canonical PSH median 1 vs lab 15)","documented, not locally verifiable",,1.0,100.0,0.999527722678757
ACK Flag Count,FLAG_DEFINITION_DIFFERENCE,"python counts packets bearing the flag (substring match on scapy flag string), both directions; original flag-count semantics/segmentation differ (e.g. canonical PSH median 1 vs lab 15)","documented, not locally verifiable",,1.0,100.0,0.28446587654185373
URG Flag Count,FLAG_DEFINITION_DIFFERENCE,"python counts packets bearing the flag (substring match on scapy flag string), both directions; original flag-count semantics/segmentation differ (e.g. canonical PSH median 1 vs lab 15)","documented, not locally verifiable",,0.4711864406779661,0.0,3.1485154749488764e-05
CWE Flag Count,IMPLEMENTATION_DIFFERENCE,"python sets cwr_flag_count = fwd_urg_flags (a source-level quirk), not an actual CWR count","documented, not locally verifiable",source-level quirk in python cicflowmeter,,0.0,
ECE Flag Count,FLAG_DEFINITION_DIFFERENCE,"python counts packets bearing the flag (substring match on scapy flag string), both directions; original flag-count semantics/segmentation differ (e.g. canonical PSH median 1 vs lab 15)","documented, not locally verifiable",,,0.0,
Down/Up Ratio,LIKELY_EQUIVALENT,python computes per-second rate = count/duration_seconds,"documented, not locally verifiable",,0.3418938835666912,36.231884057971016,0.9929158401813545
Average Packet Size,IMPLEMENTATION_DIFFERENCE,python uses len(packet) = full captured frame incl. Ethernet/IP/TCP headers; the original tool's packet-length basis is documented but not locally verifiable,"documented, not locally verifiable",candidate explanation for a large part of the packet-length residual shift,1.0,100.0,0.9995906929882561
Avg Fwd Segment Size,IMPLEMENTATION_DIFFERENCE,python sets segment-size-avg = mean packet length; inherits the len(packet) basis,"documented, not locally verifiable",,1.0,100.0,1.0
Avg Bwd Segment Size,IMPLEMENTATION_DIFFERENCE,python sets segment-size-avg = mean packet length; inherits the len(packet) basis,"documented, not locally verifiable",,1.0,100.0,0.7117873900429516
Fwd Avg Bytes/Bulk,UNRESOLVED,python has its own bulk-detection logic; original bulk semantics not locally verifiable,"documented, not locally verifiable",near-zero in both populations,,0.0,
Fwd Avg Packets/Bulk,UNRESOLVED,python has its own bulk-detection logic; original bulk semantics not locally verifiable,"documented, not locally verifiable",near-zero in both populations,,0.0,
Fwd Avg Bulk Rate,UNRESOLVED,python has its own bulk-detection logic; original bulk semantics not locally verifiable,"documented, not locally verifiable",near-zero in both populations,,0.0,
Bwd Avg Bytes/Bulk,UNRESOLVED,python has its own bulk-detection logic; original bulk semantics not locally verifiable,"documented, not locally verifiable",near-zero in both populations,,0.0,
Bwd Avg Packets/Bulk,UNRESOLVED,python has its own bulk-detection logic; original bulk semantics not locally verifiable,"documented, not locally verifiable",near-zero in both populations,,0.0,
Bwd Avg Bulk Rate,UNRESOLVED,python has its own bulk-detection logic; original bulk semantics not locally verifiable,"documented, not locally verifiable",near-zero in both populations,,0.0,
Subflow Fwd Packets,AGGREGATION_DIFFERENCE,python copies subflow_* directly from flow totals (no subflow segmentation); original derives subflow values from subflow windows,"documented, not locally verifiable",,0.4822033898305085,0.0,0.9911526715153804
Subflow Fwd Bytes,AGGREGATION_DIFFERENCE,python copies subflow_* directly from flow totals (no subflow segmentation); original derives subflow values from subflow windows,"documented, not locally verifiable",also inherits the len(packet) basis,1.0,100.0,0.9997796039167532
Subflow Bwd Packets,AGGREGATION_DIFFERENCE,python copies subflow_* directly from flow totals (no subflow segmentation); original derives subflow values from subflow windows,"documented, not locally verifiable",,0.5169491525423728,0.0,0.7147155094346584
Subflow Bwd Bytes,AGGREGATION_DIFFERENCE,python copies subflow_* directly from flow totals (no subflow segmentation); original derives subflow values from subflow windows,"documented, not locally verifiable",also inherits the len(packet) basis,0.9983050847457627,100.0,0.7117873900429516
Init_Win_bytes_forward,LIKELY_EQUIVALENT,python uses TCP window of first packet per direction,"documented, not locally verifiable",,1.0,100.0,0.5058090110512894
Init_Win_bytes_backward,LIKELY_EQUIVALENT,python uses TCP window of first packet per direction,"documented, not locally verifiable",,1.0,100.0,0.005793268473914592
act_data_pkt_fwd,LIKELY_EQUIVALENT,python counts forward packets with non-empty payload,"documented, not locally verifiable",,0.5152542372881356,0.0,0.003746733415194714
min_seg_size_forward,IMPLEMENTATION_DIFFERENCE,"python _header_size = IP header only (ihl*4), excludes the TCP header; original header length conventionally includes the transport header","documented, not locally verifiable",,1.0,100.0,0.9969144548345455
Active Mean,TIMEOUT_DEPENDENT,python active/idle use an activity timeout (constants.py) and packet.time seconds,"documented, not locally verifiable",all-zero in laboratory short flows; timeout convention and unit both differ,,0.0,0.0019205944397217012
Active Std,TIMEOUT_DEPENDENT,python active/idle use an activity timeout (constants.py) and packet.time seconds,"documented, not locally verifiable",all-zero in laboratory short flows; timeout convention and unit both differ,,0.0,
Active Max,TIMEOUT_DEPENDENT,python active/idle use an activity timeout (constants.py) and packet.time seconds,"documented, not locally verifiable",all-zero in laboratory short flows; timeout convention and unit both differ,,0.0,0.0019205944397217012
Active Min,TIMEOUT_DEPENDENT,python active/idle use an activity timeout (constants.py) and packet.time seconds,"documented, not locally verifiable",all-zero in laboratory short flows; timeout convention and unit both differ,,0.0,0.0019205944397217012
Idle Mean,TIMEOUT_DEPENDENT,python active/idle use an activity timeout (constants.py) and packet.time seconds,"documented, not locally verifiable",all-zero in laboratory short flows; timeout convention and unit both differ,,0.0,0.0019205944397217012
Idle Std,TIMEOUT_DEPENDENT,python active/idle use an activity timeout (constants.py) and packet.time seconds,"documented, not locally verifiable",all-zero in laboratory short flows; timeout convention and unit both differ,,0.0,
Idle Max,TIMEOUT_DEPENDENT,python active/idle use an activity timeout (constants.py) and packet.time seconds,"documented, not locally verifiable",all-zero in laboratory short flows; timeout convention and unit both differ,,0.0,0.0019205944397217012
Idle Min,TIMEOUT_DEPENDENT,python active/idle use an activity timeout (constants.py) and packet.time seconds,"documented, not locally verifiable",all-zero in laboratory short flows; timeout convention and unit both differ,,0.0,0.0019205944397217012
